Altium Designer Pick and Place Locations
E:\Saniok\Lime Micro\Lime PCBs\LimeKEY_RPCM_1v0\Aletium Designer design files\Project Outputs for LimeKEY-RPCM_1v0\Pick Place\Pick Place for LimeKEY-RPCM_1v0.txt

========================================================================================================================
File Design Information:

Date:       11-10-22
Time:       15:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                     Layer       Footprint                              Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                 
R218       "2k2, 1%"                   BottomLayer RES0402                                10.0200      2.4300       90       ""                                                                                                                                          
J49        "Header 2X1"                TopLayer    HDR_1x2                                8.2500       3.2000       360      ""                                                                                                                                          
R41        "1k, 1%"                    BottomLayer RES0402                                131.2500     100.4500     360      ""                                                                                                                                          
R39        0R                          BottomLayer RES0402                                130.7500     98.5750      270      ""                                                                                                                                          
R38        0R                          BottomLayer RES0402                                131.9750     98.5750      270      ""                                                                                                                                          
J21        "Header 2X1"                TopLayer    HDR_1x2                                130.7500     103.6750     0        ""                                                                                                                                          
R243       "100R, 1%"                  BottomLayer RES0805                                36.7500      45.6250      180      ""                                                                                                                                          
FL4        Fiducial                    BottomLayer Fiducial_local                         49.0000      69.5250      180      ""                                                                                                                                          
FL3        Fiducial                    BottomLayer Fiducial_local                         140.0750     25.8000      180      ""                                                                                                                                          
FL2        Fiducial                    TopLayer    Fiducial_local                         49.1000      72.3250      0        ""                                                                                                                                          
VD20       SK36A                       TopLayer    SK32A-L_DIODE_DO-214AC                 53.3750      90.9000      360      "Diode Schottky SMD SOD-523F"                                                                                                               
VD19       SK36A                       BottomLayer SK32A-L_DIODE_DO-214AC                 53.5500      94.5250      360      "Diode Schottky SMD SOD-523F"                                                                                                               
R51        0R                          TopLayer    RES0402_v2                             17.4000      99.8500      90       ""                                                                                                                                          
R61        "1.6k, 1%"                  BottomLayer RES0402                                73.8510      60.2350      0        ""                                                                                                                                          
R60        "1.6k, 1%"                  BottomLayer RES0402                                71.7510      60.2350      0        ""                                                                                                                                          
R59        "1.6k, 1%"                  BottomLayer RES0402                                69.6510      60.2350      0        ""                                                                                                                                          
R55        "10k, 1%"                   BottomLayer RES0402                                74.3510      61.8350      270      ""                                                                                                                                          
R54        "10k, 1%"                   BottomLayer RES0402                                72.2510      61.8350      270      ""                                                                                                                                          
R53        "10k, 1%"                   BottomLayer RES0402                                70.1510      61.8350      270      ""                                                                                                                                          
R50        "10k, 1%"                   BottomLayer RES0402                                82.4000      52.1000      180      ""                                                                                                                                          
R46        "10k, 1%"                   BottomLayer RES0402                                82.9000      50.5000      90       ""                                                                                                                                          
R52        0R                          TopLayer    RES0402_v2                             17.4000      98.8500      270      ""                                                                                                                                          
C185       "10uF, 25V"                 TopLayer    CAP0805                                65.8500      75.0250      270      ""                                                                                                                                          
C184       "10uF, 25V"                 TopLayer    CAP0805                                70.3000      77.0500      360      ""                                                                                                                                          
C183       "10uF, 25V"                 TopLayer    CAP0805                                66.6250      85.9000      90       ""                                                                                                                                          
C182       "10uF, 25V"                 TopLayer    CAP0805                                70.2750      80.1500      360      ""                                                                                                                                          
C42        "100nF, 16V"                BottomLayer CAP0402                                73.8510      59.1850      180      ""                                                                                                                                          
C41        "100nF, 16V"                BottomLayer CAP0402                                71.7510      59.1850      180      ""                                                                                                                                          
FR17       "600R, 2A"                  BottomLayer RES0805                                167.8500     30.8500      270      ""                                                                                                                                          
C237       "4.7uF, 6.3V"               BottomLayer CAP0402                                165.8500     29.3500      90       ""                                                                                                                                          
MECH10     "RF SHIELD FRAME"           TopLayer    RF_SHIELD_FRAME_16P5x16P5_2118716-2_v1 122.3500     90.8751      0        ""                                                                                                                                          
MECH8      "RF SHIELD FRAME"           TopLayer    RF_SHIELD_FRAME_16P5x16P5_2118716-2_v1 103.3502     90.8751      0        ""                                                                                                                                          
MECH9      "RF SHIELD FRAME"           TopLayer    RF_SHIELD_FRAME_16P5x16P5_2118716-2_v1 160.3497     90.8751      0        ""                                                                                                                                          
MECH7      "RF SHIELD FRAME"           TopLayer    RF_SHIELD_FRAME_16P5x16P5_2118716-2_v1 141.3499     90.8751      0        ""                                                                                                                                          
R18        0R                          BottomLayer RES0402                                46.5750      30.9500      90       ""                                                                                                                                          
R13        0R                          BottomLayer RES0402                                63.5250      44.9720      180      ""                                                                                                                                          
R20        "1k, 1%"                    BottomLayer RES0402                                62.9000      54.9030      180      ""                                                                                                                                          
IC1        SN74AVC1T45DBV              BottomLayer SOT23-6                                63.5250      42.7500      360      SN74AVC1T45DBV                                                                                                                              
IC3        SN74AVC1T45DBV              BottomLayer SOT23-6                                62.9000      57.1250      180      SN74AVC1T45DBV                                                                                                                              
C8         "100nF, 16V"                BottomLayer CAP0402                                66.2120      42.3000      90       ""                                                                                                                                          
