Altium Designer Pick and Place Locations
E:\Saniok\Lime Micro\Lime PCBs\LimeKEY_RPCM_1v1\Altium Designer design files\Project Outputs for LimeKEY-RPCM_1v1\Pick Place\Pick Place for LimeKEY-RPCM_1v1.csv

========================================================================================================================
File Design Information:

Date:       10-03-23
Time:       11:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R228","2k2, 1%","TopLayer","RES0402","47.1250","101.3000","270",""
"R216","10k, 1%","BottomLayer","RES0402","65.3250","95.9500","90",""
"C31","100nF, 16V","BottomLayer","CAP0402","20.8750","65.0250","360",""
"C30","100nF, 16V","BottomLayer","CAP0402","19.8500","50.2250","270",""
"VD16","TVS","BottomLayer","SOD323","30.3936","31.1936","180",""
"VD14","TVS","BottomLayer","SOD323","21.7000","29.8000","360",""
"R127","0R","BottomLayer","RES0402","38.1250","25.3285","180",""
"R126","0R","BottomLayer","RES0402","38.1250","31.2750","360",""
"R117","0R","TopLayer","RES0402","71.4500","20.1063","180",""
"R116","0R","TopLayer","RES0402","73.6750","20.1000","360",""
"R105","0R","TopLayer","RES0402","77.0750","13.1750","270",""
"R109","0R","TopLayer","RES0402","76.4500","15.4000","270",""
"R108","10k, 1%","TopLayer","RES0402","72.0500","25.9000","270",""
"R115","2k2, 1%","TopLayer","RES0402","75.8500","17.7000","270",""
"R114","2k2, 1%","TopLayer","RES0402","77.0750","17.7000","90",""
"IC19","FSUSB42UMX","TopLayer","FSUSB42UMX","72.5750","17.8000","270",""
"C72","100nF, 16V","TopLayer","CAP0402","74.7750","16.5250","270",""
"R97","0R","BottomLayer","RES0402","62.4750","23.1500","360",""
"R94","0R","BottomLayer","RES0402","62.4750","24.2500","360",""
"R119","0R","BottomLayer","RES0402","77.7750","26.6250","360",""
"R101","10k, 1%","BottomLayer","RES0402","76.3750","23.0750","360",""
"R102","1M, 1%","BottomLayer","RES0402","66.4250","20.1500","270",""
"R118","0R","BottomLayer","RES0402","77.7750","27.8250","360",""
"C63","100nF, 16V","BottomLayer","CAP0402","69.3515","33.5275","90",""
"C62","1uF, 10V","BottomLayer","CAP0402","70.3500","33.5250","270","CAP CER 1UF 10V X5R 0402"
"IC18","USB2517","BottomLayer","USB2517-JZX-TR_USB_HUB_QFN64","69.8750","27.2000","360",""
"C60","22pF, 50V","BottomLayer","CAP0402","65.3750","21.3250","270",""
"R98","10k, 1%","TopLayer","RES0402","68.6399","28.9150","90",""
"R82","0R","BottomLayer","RES0402","85.6849","16.2897","270",""
"R45","2k2, 1%","BottomLayer","RES0402","62.5400","16.6150","90",""
"R44","2k2, 1%","BottomLayer","RES0402","61.2700","16.6150","90",""
"IC13","ATECC508A","BottomLayer","SOIC127P600-8DL_v2","56.4250","11.3250","90",""
"IC14","ATECC508A","BottomLayer","ATECC508A_UDFN8","56.4250","11.3750","90",""
"IC10","CAT24C128WI-GT3","BottomLayer","SOIC127P600-8DL_v2","63.1750","11.3250","90","CAT24C128WI-GT3"
"IC11","M24128","BottomLayer","M24128-DFMC6TG","63.1750","11.3750","90",""
"C49","100nF, 16V","BottomLayer","CAP0402","57.7750","16.1750","180",""
"C41","100nF, 16V","BottomLayer","CAP0402","64.5250","16.1750","180",""
"XT2","24MHz","BottomLayer","CRYSTAL_4-LCC","63.0500","19.8865","270","Oscillator Crystal 25 MHz"
"VD17","TVS","BottomLayer","SOD323","30.3936","33.7804","180",""
"VD15","TVS","BottomLayer","SOD323","21.1250","31.8000","360",""
"VD13","TVS","BottomLayer","SOD323","17.1750","31.8000","180",""
"VD9","SK36A","BottomLayer","SK32A-L_DIODE_DO-214AC","31.8500","61.3250","270","Diode Schottky SMD SOD-523F"
"R96","10k, 1%","BottomLayer","RES0402","76.3750","24.1750","180",""
"R254","1.2k, 1%","BottomLayer","RES0402","129.4250","32.9000","270",""
"R253","1k, 1%","BottomLayer","RES0402","127.8250","33.4000","180",""
"F2","0R","BottomLayer","RES0805","37.8750","52.4750","180",""
"R251","0R","BottomLayer","RES0402","159.6000","31.3500","180",""
"R249","0R","BottomLayer","RES0402","159.1000","32.9500","270",""
"R248","1k, 1%","BottomLayer","RES0402","160.8750","33.1250","360",""
"R223","1k, 1%","BottomLayer","RES0402","70.0161","77.3951","90",""
"R219","5.1k, 5%","BottomLayer","RES0402","71.6161","76.8951","180",""
"R187","100k, 1%","BottomLayer","RES0402","102.5500","67.6000","270",""
"R186","100k, 1%","BottomLayer","RES0402","112.2500","67.0500","270",""
"R185","100k, 1%","BottomLayer","RES0402","132.8250","73.0750","270",""
"R184","100k, 1%","BottomLayer","RES0402","150.6250","76.2000","90",""
"R177","100k, 1%","BottomLayer","RES0402","103.6500","68.6000","270",""
"R176","100k, 1%","BottomLayer","RES0402","110.3250","67.2000","360",""
"R175","100k, 1%","BottomLayer","RES0402","133.9250","74.0750","270",""
"R174","100k, 1%","BottomLayer","RES0402","151.8500","76.2000","270",""
"R131","0R","BottomLayer","RES0402","34.2000","25.3750","180",""
"R130","470R, 1%","BottomLayer","RES0402","32.4250","26.4750","360",""
"R129","0R","BottomLayer","RES0402","34.3870","27.8370","90",""
"R128","0R","BottomLayer","RES0402","40.1665","25.3285","360",""
"R113","10k, 1%","TopLayer","RES0402","72.0500","28.0000","270",""
"R112","10k, 1%","TopLayer","RES0402","73.1750","28.0000","90",""
"R111","10k, 1%","TopLayer","RES0402","74.4000","28.0000","270",""
"R110","0R","TopLayer","RES0402","77.0750","19.8063","90",""
"R103","2k2, 1%","TopLayer","RES0402","76.5750","21.4250","180",""
"R100","12k, 1%","TopLayer","RES0402","66.0125","21.7125","270",""
"R99","0R","TopLayer","RES0402","67.5500","28.9250","90",""
"R95","10k, 1%","TopLayer","RES0402","79.5000","8.3500","180",""
"R93","0R","BottomLayer","RES0402","90.1750","65.0750","90",""
"R91","0R","BottomLayer","RES0402","91.2750","65.0750","90",""
"R90","100k, 1%","BottomLayer","RES0402","89.6750","63.4750","360",""
"R76","0R","BottomLayer","RES0402","4.4250","27.0500","270",""
"R75","100k, 1%","BottomLayer","RES0402","97.9500","60.0750","270",""
"R73","0R","BottomLayer","RES0402","5.6500","27.0500","270",""
"R49","0R","BottomLayer","RES0402_v2","74.9760","44.8600","90",""
"R46","3k, 1%","BottomLayer","RES0402","72.3760","49.0100","180",""
"R20","0R","BottomLayer","RES0402","46.5750","30.9500","90",""
"R14","0R","BottomLayer","RES0402","45.4000","33.1750","90",""
"R11","100k, 1%","BottomLayer","RES0402","45.4000","35.2750","270",""
"IC47","AS431","BottomLayer","SOT23-3_v2","159.4250","28.9750","270",""
"IC23","MIC2039","BottomLayer","SOT23-6","37.3250","27.3370","180",""
"IC21","AT24C02","BottomLayer","M24128-DFMC6TG","83.7000","13.3500","270",""
"IC20","M24C02","BottomLayer","SOIC127P600-8DL_v2","77.2000","10.7750","270",""
"C198","100uF, 16V","TopLayer","CAP_POL_SIZE_F_v2","72.1000","89.9750","360",""
"C197","100uF, 16V","TopLayer","CAP_POL_SIZE_F_v2","72.1000","81.1750","360",""
"C196","22nF, 50V","TopLayer","CAP0402","60.4500","87.8750","270",""
"C193","10uF, 25V","TopLayer","CAP0805","67.0500","85.9750","270",""
"C83","100nF, 16V","BottomLayer","CAP0402","38.1250","29.9850","360",""
"C82","47uF, 10V","BottomLayer","CAP1206","30.9250","36.2750","180",""
"C81","100nF, 16V","BottomLayer","CAP0402","33.6500","31.0250","90",""
"C80","47uF, 10V","BottomLayer","CAP1206","31.5000","28.4250","360",""
"C79","1uF, 10V","BottomLayer","CAP0402","40.2100","27.8370","270",""
"C73","100nF, 16V","BottomLayer","CAP0402","81.6500","11.5250","270",""
"C71","1uF, 10V","TopLayer","CAP0402","71.3000","23.8500","360","CAP CER 1UF 10V X5R 0402"
