Altium Designer Pick and Place Locations
d:\LimePCBs\LimeKEY_RPCM\GIT\hardware\1v3\Project Outputs for LimePSB-RPCM_1v3\Pick Place\Pick Place for LimePSB-RPCM_1v3.csv

========================================================================================================================
File Design Information:

Date:       29-10-24
Time:       15:45
Revision:   5f95441265df4aefe006a2c45890742ee0e74d1f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R326","330R, 1%","BottomLayer","RES0402","113.3500","2.3500","90",""
"J28","Header 10X2","TopLayer","Header10x2_TH_2MM","26.3000","32.1000","270","Header, 10-Pin, Dual row"
"J42","Header 3x1 pin","TopLayer","HDR_1x3","156.7750","55.9250","180","Header, 3-pin"
"XO10","ASVTX-12 38.4MHz","BottomLayer","CRYSTAL_4-LCC_2P5x2P0","136.3250","19.9000","270","Oscillator Crystal"
"XO9","RTX5032A, 40.00MHz","BottomLayer","RAKON_RTX5032A","114.7750","9.8750","360",""
"XO8","E5280LF 30.72MHz","BottomLayer","RAKON_TXCO","130.0900","21.0360","180",""
"XO7","E6245LF 30.72 MHz","BottomLayer","RAKON_RPT7050A","129.9400","21.0360","180",""
"XO6","U8073LF 10.0MHz","TopLayer","AOCJYR-10.000MHz","132.1250","9.0250","90",""
"R9","0R","BottomLayer","RES0402","89.1250","66.9250","270",""
"R11","0R","BottomLayer","RES0402","88.0250","66.9250","270",""
"R65","1k, 1%","BottomLayer","RES0402","25.5750","6.8000","360",""
"R66","10k, 1%","BottomLayer","RES0402","18.3750","14.5000","360",""
"R69","10k, 1%","BottomLayer","RES0402","102.7500","16.6250","90",""
"R127","0R","BottomLayer","RES0402","72.0750","20.8000","90",""
"R125","0R","BottomLayer","RES0402","70.9750","20.8000","90",""
"R111","0R","BottomLayer","RES0402","107.8250","53.7750","0",""
"R109","10k, 1%","BottomLayer","RES0402","115.2400","48.8600","90",""
"R108","0R","BottomLayer","RES0402","115.2400","50.9600","90",""
"R105","0R","BottomLayer","RES0402","112.8150","50.9600","270",""
"R107","0R","BottomLayer","RES0402","98.2100","48.6900","90",""
"R106","0R","BottomLayer","RES0402","112.8150","48.8600","270",""
"R104","0R","BottomLayer","RES0402","98.2100","50.7900","90",""
"R100","0R","BottomLayer","RES0402","92.3000","29.8250","90",""
"R99","0R","BottomLayer","RES0402","93.4000","29.1250","90",""
"R225","0R","TopLayer","RES0402","133.5750","68.8000","180",""
"R103","0R","BottomLayer","RES0402","100.6350","48.6900","90",""
"R231","0R","TopLayer","RES0402","144.6000","63.5000","90",""
"R226","0R","TopLayer","RES0402","137.2500","70.0500","180",""
"R224","0R","TopLayer","RES0402","137.0000","71.1500","360",""
"R220","10R, 1%","TopLayer","RES0402","133.0000","70.4500","270",""
"R219","0R","TopLayer","RES0402","139.7750","72.3250","180",""
"R218","0R","TopLayer","RES0402","131.9000","69.4500","270",""
"R228","0R","TopLayer","RES0402","144.6250","61.0750","90",""
"R232","0R","BottomLayer","RES0402","141.5250","47.8750","90",""
"R230","0R","BottomLayer","RES0402","139.9000","47.3750","180",""
"R102","10k, 1%","BottomLayer","RES0402","95.1500","9.0750","90",""
"R101","330R, 1%","BottomLayer","RES0402","109.7000","2.3500","90",""
"R113","10k, 1%","BottomLayer","RES0402","105.7250","53.7750","180",""
"R110","10k, 1%","BottomLayer","RES0402","100.6350","50.7900","90",""
"R321","0R","BottomLayer","RES0402","108.8250","42.0000","180",""
"R112","100R, 1%","BottomLayer","RES0603","130.8250","43.8250","270",""
"R207","0R","BottomLayer","RES0402","123.3643","8.6244","360",""
"R319","470R, 1%","BottomLayer","RES0402","106.2000","39.0250","360",""
"R320","2.4k, 1%","BottomLayer","RES0402","138.4250","39.6750","180",""
"R316","1k, 1%","BottomLayer","RES0402","105.7000","40.6250","90",""
"R315","1.2k, 1%","BottomLayer","RES0402","136.3250","39.6750","360",""
"R325","510R, 1%","BottomLayer","RES0402","126.6000","49.3750","270",""
"R323","1.6k, 1%","BottomLayer","RES0402","126.6000","51.4750","90",""
"R98","0R","BottomLayer","RES0402","118.0750","49.5000","90",""
"R97","0R","BottomLayer","RES0402","119.1750","49.5000","90",""
"R96","0R","BottomLayer","RES0402","120.2750","49.5000","90",""
"R179","0R","BottomLayer","RES0402_v2","141.2250","18.1500","90",""
"R217","0R","BottomLayer","RES0402","137.1750","25.0750","360",""
"R216","0R","BottomLayer","RES0402_v2","132.3000","15.3000","90",""
"R215","0R","BottomLayer","RES0402","138.7000","33.2250","360",""
"R214","22R, 1%","BottomLayer","RES0402","111.8000","4.3000","90",""
"R213","0R","BottomLayer","RES0402_v2","129.5500","14.8000","360",""
"R212","0R","BottomLayer","RES0402","111.8000","2.2000","90",""
"R210","0R","BottomLayer","RES0402","125.0500","17.7750","360",""
"R209","0R","BottomLayer","RES0402_v2","131.2750","15.3000","90",""
"R208","0R","BottomLayer","RES0402","124.5500","21.3750","270",""
"R206","49.9R, 1%","BottomLayer","RES0402","126.6643","13.7494","360",""
"R205","0R","BottomLayer","RES0402","128.8393","11.5244","180",""
"R204","0R","BottomLayer","RES0402","134.9000","3.0472","90",""
"R203","0R","BottomLayer","RES0402_v2","131.2750","14.3000","270",""
"LED7","LED_RG_SMD","TopLayer","LED-2x0603","111.3101","2.5500","90",""
"L1","47nH","TopLayer","RES0402","130.2000","71.0500","360",""
"J25","Header 3x1 pin","TopLayer","HDR_1x3","157.8000","4.2250","180","Header, 3-pin"
"J44","U.FL/MMCX","TopLayer","MMCX_UFL_conn_u","134.3750","74.0750","90","CONN UMC RCPT STR 50 OHM SMD"
"J35","U.FL/MMCX","TopLayer","MMCX_UFL_conn_u","110.0750","9.7250","270","CONN UMC RCPT STR 50 OHM SMD"
"J43","Batt","TopLayer","HDR_1x2","146.1000","37.4500","0",""
"IC13","MCP23017-E/ML","BottomLayer","MCP23017-E/ML_QFN28","100.8000","10.8750","360",""
"IC17","ICE5LP4K-SG48ITR","BottomLayer","ICE5LP4K-SG48ITR_Lattice_FPGA_QFN48","120.1250","42.4500","360",""
"IC40","NEO-M8Q","TopLayer","NEO-7M/8M","135.6000","60.0250","90","GNSS engine for GPS/QZSS, GLONASS"
"IC32","74LVC1G3157FZ4","BottomLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","142.7360","18.1850","90",""
"IC61","AP7361-FGE","BottomLayer","AP7361","102.6750","40.1500","180",""
"IC60","AP7361-FGE","BottomLayer","AP7361","136.8000","36.6500","270",""
"IC64","AP7361-FGE","BottomLayer","AP7361","123.5750","51.0000","180",""
"IC37","LP5907-3.0","BottomLayer","SOT23-5","137.6500","27.9250","270",""
"IC36","LMK00105","BottomLayer","LMK00105SQ","127.4143","7.9244","180",""
"IC18","MX25U1632FM2I02","BottomLayer","S25FL164K_WSON8_DFN6","106.7250","49.8250","180",""
"FR12","600R, 0.5A","BottomLayer","RES0402","142.6250","47.8750","90",""
"FR21","600R, 2A","BottomLayer","RES0805","130.8750","51.7250","180",""
"FR20","600R, 2A","BottomLayer","RES0805","120.7500","55.6250","270",""
"FR11","600R, 0.5A","BottomLayer","RES0402","132.9750","7.4250","90",""
"FR10","600R, 0.5A","BottomLayer","RES0402","128.6643","2.7744","180",""
"FR9","600R, 2A","BottomLayer","RES0805","128.2750","16.8000","180",""
"ESD34","ESD8472","TopLayer","ESD8472_X3DFN2","131.5000","74.3000","90",""
"D2","BAS316","BottomLayer","BAS316_DIODE_SOD323","104.1000","44.6000","180",""
"C47","100nF, 16V","BottomLayer","CAP0402","96.3250","12.0250","90",""
"C45","100nF, 16V","BottomLayer","CAP0402","102.2500","15.0750","180",""
"C192","100nF, 16V","TopLayer","CAP0402","137.2500","68.8000","360",""
"C187","22pF, 50V","TopLayer","CAP0402","131.7500","71.5750","270",""
"C195","100nF, 16V","BottomLayer","CAP0402","139.9000","48.4250","180",""
"C189","10uF, 6.3V","TopLayer","CAP0603","141.1250","69.9750","180",""
"C188","1uF, 10V","TopLayer","CAP0402","140.7750","71.2750","180","CAP CER 1UF 10V X5R 0402"
"C197","100pF, 50V","BottomLayer","CAP0402","142.0250","49.4250","360",""
"C190","100pF, 50V","TopLayer","CAP0402","129.7000","69.4500","270",""
"C196","100nF, 16V","TopLayer","CAP0402","143.4500","51.3750","180",""
"C52","100nF, 16V","BottomLayer","CAP0402","96.2250","9.0750","270",""
"C61","100nF, 16V","BottomLayer","CAP0402","102.9250","53.7750","180",""
"C54","100nF, 16V","BottomLayer","CAP0402","125.2000","46.4000","90",""
"C53","4.7uF, 6.3V","BottomLayer","CAP0402","126.2000","46.4000","270",""
"C56","100nF, 16V","BottomLayer","CAP0402","127.9000","40.7000","270",""
"C55","4.7uF, 6.3V","BottomLayer","CAP0402","129.1500","40.7000","90",""
"C58","100nF, 16V","BottomLayer","CAP0402","122.3750","47.6000","360",""
"C57","4.7uF, 6.3V","BottomLayer","CAP0402","122.3750","48.6000","180",""
"C60","100nF, 16V","BottomLayer","CAP0402","115.1250","39.2000","270",""
"C59","4.7uF, 6.3V","BottomLayer","CAP0402","114.1000","39.2000","90",""
"C65","100nF, 16V","BottomLayer","CAP0402","114.2250","42.2000","90",""
"C64","4.7uF, 6.3V","BottomLayer","CAP0402","113.2250","42.2000","270",""
"C67","100nF, 16V","BottomLayer","CAP0402","127.9000","42.8000","270",""
"C66","4.7uF, 6.3V","BottomLayer","CAP0402","128.9000","42.8000","90",""
"C63","100nF, 16V","BottomLayer","CAP0402","127.9000","44.9000","90",""
"C62","4.7uF, 6.3V","BottomLayer","CAP0402","128.9000","44.9000","270",""
"C147","100nF, 16V","BottomLayer","CAP0402","142.7360","20.1750","270",""
"C307","4.7uF, 6.3V","BottomLayer","CAP0402","105.7000","42.7250","270",""
"C305","4.7uF, 6.3V","BottomLayer","CAP0402","134.2250","39.6750","360",""
"C306","4.7uF, 6.3V","BottomLayer","CAP0402","101.8000","42.5250","180",""
"C304","4.7uF, 6.3V","BottomLayer","CAP0402","133.9250","35.2750","360",""
"C312","4.7uF, 6.3V","BottomLayer","CAP0402","128.0250","53.5750","270",""
"C311","4.7uF, 6.3V","BottomLayer","CAP0402","126.6000","53.5750","270",""
"C310","4.7uF, 6.3V","BottomLayer","CAP0402","122.2000","53.8750","270",""
