Altium Designer Pick and Place Locations
d:\LimePCBs\LimeKEY_RPCM\GIT\hardware\1v4\Project Outputs for LimePSB-RPCM_1v4\Pick Place\Pick Place for LimePSB-RPCM_1v4(Default).csv

========================================================================================================================
File Design Information:

Date:       30-06-25
Time:       14:16
Revision:   08887c6980ce9edf9fda71021dcbaa9768d241c8
Variant:    Default
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"MECH4","SMD spacer (M2, 1.5mm)","TopLayer","9774015243R_SMT_M2_STANDOFF_SPACER","98.7250","73.0500","90",""
"MECH12","SMD spacer (M2, 1.5mm)","TopLayer","9774015243R_SMT_M2_STANDOFF_SPACER","56.1250","24.4750","90",""
"MECH10","SMD spacer (M2, 1.5mm)","TopLayer","9774015243R_SMT_M2_STANDOFF_SPACER","89.1250","24.4750","90",""
"MECH8","SMD spacer (M2, 1.5mm)","TopLayer","9774015243R_SMT_M2_STANDOFF_SPACER","89.1250","72.4750","90",""
"MECH6","SMD spacer (M2, 1.5mm)","TopLayer","9774015243R_SMT_M2_STANDOFF_SPACER","56.1250","72.4750","90",""
"MECH2","SMD spacer (M2, 1.5mm)","TopLayer","9774015243R_SMT_M2_STANDOFF_SPACER","122.9250","73.0500","90",""
"R41","1k, 1%","BottomLayer","RES0402","132.8058","95.2183","90",""
"IC57","F2972NEGK","TopLayer","F2972NEGK_SPDT_RF_switch_12-TQFN","142.1400","94.2433","90",""
"J46","SMA panel mount","TopLayer","SMA_connector_side","116.0500","105.2750","270","CONN SMA JACK STR 50OHM EDGE MNT"
"R268","100R, 1%","BottomLayer","RES0402","144.0250","98.0750","90",""
"R267","100R, 1%","BottomLayer","RES0402","106.0250","98.0750","90",""
"R262","100R, 1%","BottomLayer","RES0402","155.1433","95.9250","180",""
"R261","100R, 1%","BottomLayer","RES0402","117.1433","95.9250","180",""
"ESD38","ESD8472","TopLayer","ESD8472_X3DFN2","116.1750","100.5250","360",""
"C248","100pF, 50V","BottomLayer","CAP0402","142.4250","96.5250","360",""
"C247","100pF, 50V","BottomLayer","CAP0402","104.4250","96.5250","360",""
"C246","100pF, 50V","BottomLayer","CAP0402","144.5250","96.5250","180",""
"C245","100pF, 50V","BottomLayer","CAP0402","106.5250","96.5250","180",""
"C239","100pF, 50V","TopLayer","CAP0402","101.8250","95.9000","270",""
"L12","0R","BottomLayer","RES0402","153.5428","89.2832","180",""
"L11","0R","BottomLayer","RES0402","115.5428","89.2832","180",""
"R328","100R, 1%","BottomLayer","RES0402","153.1500","85.7000","270",""
"R324","68R, 1%","BottomLayer","RES0402","151.8650","90.5110","90",""
"R323","68R, 1%","BottomLayer","RES0402","113.8650","90.4610","90",""
"R266","49.9R, 1%","TopLayer","RES0402","154.0250","90.6500","360",""
"R265","49.9R, 1%","TopLayer","RES0402","116.0250","90.6500","360",""
"IC73","LTC5587","BottomLayer","LTC5587_DFN12","146.9000","86.7500","360",""
"IC72","LTC5587","BottomLayer","LTC5587_DFN12","108.9000","86.7500","360",""
"IC55","HHM22152A2","TopLayer","HHM22152A2_DIRECTIONAL_COUPLER","155.7500","90.2750","90",""
"IC53","HHM22152A2","TopLayer","HHM22152A2_DIRECTIONAL_COUPLER","117.7500","90.2750","90",""
"FR23","600R, 0.5A","BottomLayer","RES0402","150.5150","88.6860","360",""
"FR21","600R, 0.5A","BottomLayer","RES0402","112.5150","88.6860","360",""
"C327","100nF, 16V","BottomLayer","CAP0402","152.1750","83.0500","270",""
"C325","1uF, 10V","BottomLayer","CAP0402","153.2000","83.0500","90","CAP CER 1UF 10V X5R 0402"
"C324","10nF, 50V","BottomLayer","CAP0402","143.6400","88.3610","180",""
"C317","1uF, 10V","BottomLayer","CAP0402","150.5150","87.6360","180","CAP CER 1UF 10V X5R 0402"
"C316","1uF, 10V","BottomLayer","CAP0402","150.5150","85.3360","180","CAP CER 1UF 10V X5R 0402"
"C315","1uF, 10V","BottomLayer","CAP0402","143.6400","85.9610","360","CAP CER 1UF 10V X5R 0402"
"C314","1uF, 10V","BottomLayer","CAP0402","150.5095","86.4555","360","CAP CER 1UF 10V X5R 0402"
"C313","1.5pF, 50V","BottomLayer","CAP0402","155.0928","88.7832","270",""
"C312","1nF, 50V","BottomLayer","CAP0402","143.6400","87.0860","360",""
"C311","1nF, 50V","BottomLayer","CAP0402","150.2650","90.0610","180",""
"C310","10nF, 50V","BottomLayer","CAP0402","105.6400","88.3610","180",""
"C308","1uF, 10V","BottomLayer","CAP0402","112.5150","87.6360","180","CAP CER 1UF 10V X5R 0402"
"C307","1uF, 10V","BottomLayer","CAP0402","112.5150","85.3360","180","CAP CER 1UF 10V X5R 0402"
"C306","1uF, 10V","BottomLayer","CAP0402","105.6400","85.9610","360","CAP CER 1UF 10V X5R 0402"
"C304","1uF, 10V","BottomLayer","CAP0402","112.5150","86.4860","360","CAP CER 1UF 10V X5R 0402"
"C302","1.5pF, 50V","BottomLayer","CAP0402","117.0928","88.7832","270",""
"C300","1nF, 50V","BottomLayer","CAP0402","105.6400","87.0860","360",""
"C299","1nF, 50V","BottomLayer","CAP0402","112.2650","90.0610","180",""
"R2","0R","TopLayer","RES0402_v2","107.6250","17.3500","0",""
"R104","330R, 1%","BottomLayer","RES0402","109.1750","2.2000","270",""
"R94","10k, 1%","BottomLayer","RES0402","86.6750","32.4250","90",""
"IC33","74LVC1G3157FZ4","BottomLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","136.4000","4.2500","270",""
"IC32","TMUX1204DGSR","BottomLayer","TMUX1204DGSR_ANALOG_SWITCH_10-TSSOP","88.2500","8.2250","180",""
"IC45","74LVC1G3157FZ4","BottomLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","106.5875","16.7500","180",""
"IC41","74LVC1G3157FZ4","BottomLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","97.2625","22.6250","180",""
"IC42","74LVC1G3157FZ4","BottomLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","96.2500","40.2250","270",""
"IC43","74LVC1G3157FZ4","BottomLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","103.0750","25.5500","90",""
"IC40","74LVC1G3157FZ4","BottomLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","95.1625","26.4500","180",""
